Date,Time,Object Name,Object ID,Target Name,Target ID,Min Distance (km),Relative Speed (km/s),Object Since Epoch (days),Target Since Epoch (days),Collision Probability
2025-04-07,01:47:43.840,THORAD AGENA D DEB,04737,YUNHAI 1-04,58073,2.7411076281412794,7.37243593662453,1.2426836052909493,0.5420512254349887,5.82939350058567e-05
2025-04-07,03:04:27.378,JILIN-01 GAOFEN 2D,49256,STARLINK-2169,47752,3.375679860958908,8.800364229694368,0.5857612043619156,1.3150538341142237,8.391722649307383e-06
2025-04-07,03:23:24.661,JILIN-01 GAOFEN 2D,49256,STARLINK-4258,53180,3.4258694712499698,6.352865943464272,0.5989241912029684,0.6018846612423658,7.076567907045172e-06
2025-04-07,14:07:21.969,COSMOS 2251 DEB,37484,ERS 1,21574,1.2321310501005687,14.357619972723915,4.590716306120157,1.0571247264742851,0.001163703501560264
2025-04-07,18:57:51.107,JILIN-01 GAOFEN 2D,49256,STARLINK-2681,48465,0.5261203206856381,7.41084063474165,1.2478413959033787,1.91494858590886,0.0021629482211957666
2025-04-07,01:47:44.010,THORAD AGENA D DEB,04737,YUNHAI 1-04,58073,3.0160194754303986,7.372435824105225,1.24268558062613,0.5420532007701695,5.829394120028693e-05
2025-04-07,03:23:24.340,JILIN-01 GAOFEN 2D,49256,STARLINK-4258,53180,3.9866159286630305,6.352865540681951,0.5989204766228795,0.601880946662277,7.076451289753867e-06
2025-04-07,14:07:22.044,COSMOS 2251 DEB,37484,ERS 1,21574,1.6416154775339737,14.357619926230504,4.590717180632055,1.0571256009861827,0.0011637048669256309
2025-04-07,18:57:51.054,JILIN-01 GAOFEN 2D,49256,STARLINK-2681,48465,0.6565579457114177,7.410840620553872,1.247840782161802,1.9149479721672833,0.002162947597656754
2025-04-08,03:08:02.120,JILIN-01 GAOFEN 2D,49256,STARLINK-5187,54065,1.6319833198782157,14.633512715194223,1.588246636558324,1.9500085962936282,0.0006950677304207463
2025-04-07,01:47:44.010,THORAD AGENA D DEB,04737,YUNHAI 1-04,58073,3.0160194754303986,7.372435824105225,1.24268558062613,0.5420532007701695,5.829394120028693e-05
2025-04-07,03:23:24.340,JILIN-01 GAOFEN 2D,49256,STARLINK-4258,53180,3.9866159286630305,6.352865540681951,0.5989204766228795,0.601880946662277,7.076451289753867e-06
2025-04-07,14:07:22.044,COSMOS 2251 DEB,37484,ERS 1,21574,1.6416154775339737,14.357619926230504,4.590717180632055,1.0571256009861827,0.0011637048669256309
2025-04-07,01:47:44.010,THORAD AGENA D DEB,04737,YUNHAI 1-04,58073,3.0160194754303986,7.372435824105225,1.24268558062613,0.5420532007701695,5.829394120028693e-05
2025-04-07,03:23:24.340,JILIN-01 GAOFEN 2D,49256,STARLINK-4258,53180,3.9866159286630305,6.352865540681951,0.5989204766228795,0.601880946662277,7.076451289753867e-06
